GeneID,bsf,pcf
Tb927.4.4920,3.16,3.52
Tb927.8.7500,3.16,3.52
Tb927.10.11910,3.21,3.48
Tb11.v5.0290,3.19,3.51
Tb927.11.12760,3.19,3.51
Tb927.11.14040,3.2,3.52
Tb927.7.2460,3.26,3.47
Tb927.6.2660,3.22,3.51
Tb927.11.16990,3.24,3.5
Tb11.v5.0405,3.24,3.5
Tb927.7.4850,3.19,3.55
Tb11.v5.0167,3.19,3.55
Tb927.6.3470,3.23,3.52
Tb927.10.400,3.21,3.54
Tb927.4.2800,3.21,3.54
Tb927.11.14400,3.19,3.56
Tb927.9.1365,3.17,3.58
Tb927.9.14570,3.27,3.49
Tb927.7.3230,3.26,3.5
Tb11.v5.0864,3.23,3.53
Tb927.4.4470,3.23,3.53
Tb927.5.3530,3.24,3.53
Tb927.7.5200,3.24,3.53
Tb927.2.3440,3.23,3.54
Tb927.9.10360,3.22,3.55
Tb927.10.8070,3.2,3.57
Tb927.7.3680,3.17,3.6
Tb927.10.700,3.21,3.57
Tb927.8.1520,3.17,3.61
Tb927.8.2990,3.13,3.65
Tb927.1.2710,3.31,3.47
Tb927.9.6210,3.22,3.56
Tb927.8.2140,3.2,3.58
Tb927.9.12430,3.22,3.57
Tb927.10.9210,3.22,3.57
Tb927.7.2580,3.19,3.6
Tb927.10.9310,3.26,3.54
Tb927.9.14990,3.26,3.54
Tb927.7.7200,3.28,3.53
Tb927.11.3010,3.29,3.52
Tb927.11.13170,3.24,3.57
Tb927.10.1370,3.23,3.58
Tb11.v5.0373,3.2,3.61
Tb927.1.1300,3.2,3.61
Tb927.8.4410,3.33,3.49
Tb927.3.2910,3.31,3.51
Tb927.7.6840,3.27,3.55
Tb927.5.293b,3.23,3.59
Tb927.7.2290,3.21,3.61
Tb927.7.3340,3.31,3.52
Tb927.10.1240,3.29,3.54
Tb927.10.12780,3.28,3.55
Tb927.11.1060,3.28,3.55
Tb927.4.3470,3.28,3.55
Tb927.7.2630,3.27,3.56
Tb927.4.4200,3.27,3.56
Tb927.11.12020,3.25,3.58
Tb927.11.5920,3.21,3.62
Tb927.10.4680,3.2,3.63
Tb927.11.8830,3.34,3.5
Tb927.11.14550,3.28,3.56
Tb927.2.5070,3.28,3.56
Tb927.11.5610,3.27,3.57
Tb927.8.5550,3.25,3.59
Tb927.7.7150,3.23,3.61
Tb927.5.1380,3.21,3.63
Tb927.10.10190,3.18,3.66
Tb927.5.3745,3.32,3.53
Tb927.11.5830,3.32,3.53
Tb927.9.10660,3.32,3.53
Tb927.9.10000,3.31,3.54
Tb927.7.620,3.29,3.56
Tb927.11.14930,3.28,3.57
Tb927.6.2750,3.28,3.57
Tb927.7.1470,3.27,3.58
Tb927.7.5970,3.27,3.58
Tb927.7.5990,3.27,3.58
Tb927.8.3220,3.25,3.6
Tb11.v5.0392,3.23,3.62
Tb927.1.1350,3.23,3.62
Tb927.1.1600,3.23,3.62
Tb11.v5.0688,3.23,3.62
Tb927.7.770,3.19,3.66
Tb11.v5.0695,3.34,3.52
Tb927.7.370,3.3,3.56
Tb927.7.390,3.3,3.56
Tb927.7.410,3.3,3.56
Tb927.7.430,3.3,3.56
Tb11.v5.0632,3.29,3.57
Tb927.8.660,3.29,3.57
Tb927.7.7180,3.28,3.58
Tb11.v5.0146,3.27,3.59
Tb927.7.4590,3.27,3.59
Tb927.7.6830,3.26,3.6
Tb927.8.3140,3.26,3.6
Tb927.5.1240,3.26,3.6
Tb927.5.810,3.25,3.61
Tb927.11.5980,3.25,3.61
Tb927.9.11750,3.21,3.65
