Gene ID,Localization,Product Description,Category,CtermTryptag,NtermTryptag
Tb927.10.3420,Unknown,"NADH-ubiquinone oxidoreductase c, putative",Mito.e.transport,Unknown,Unknown
Tb927.10.6500,Unknown,"amino acid transporter, putative",Amino.acid.transport,Unknown,Unknown
Tb927.4.3930,Unknown,"amino acid transporter, putative",Amino.acid.transport,Unknown,Unknown
Tb927.4.3990,Unknown,"amino acid transporter, putative",Amino.acid.transport,Unknown,Unknown
Tb927.4.4000,Unknown,"amino acid transporter, putative",Amino.acid.transport,Unknown,Unknown
Tb927.4.4010,Unknown,"amino acid transporter, putative",Amino.acid.transport,Unknown,Unknown
Tb927.4.4020,Unknown,Ornithine/histidine transporter AAT2-4,Amino.acid.transport,Unknown,Unknown
Tb927.4.4840,Unknown,"amino acid transporter 7, putative",Amino.acid.transport,Unknown,Unknown
Tb927.6.4660,Unknown,"cationic amino acid transporter, putative",Amino.acid.transport,Unknown,Unknown
Tb927.8.7600,secretory/endocytic 2,"amino acid transporter, putative",Amino.acid.transport,secretory/endocytic 2,cytoplasm[reticulated]
Tb927.8.8220,Unknown,"amino acid transporter, putative",Amino.acid.transport,Unknown,Unknown
Tb927.7.6940,Unknown,"glutaminyl cyclase, putative",Amino.acids,Unknown,cytoplasm[points]
Tb11.v5.0585,Unknown,"separase, putative",Cell.cycle,Unknown,Unknown
Tb11.v5.0811,Unknown,"structural maintenance of chromosome 2, putative",Cell.cycle,Unknown,Unknown
Tb927.11.6550,Unknown,PUF nine target 1,Cell.cycle,Unknown,Unknown
Tb927.6.5020,Unknown,"cyclin 7, putative, CYC2-like cyclin, putative",Cell.cycle,Unknown,Unknown
Tb927.7.1590,Unknown,"cyclin CycB3, mitotic cyclin",Cell.cycle,Unknown,Unknown
Tb927.8.6340,Unknown,"CYC2-like cyclin, putative",Cell.cycle,Unknown,Unknown
Tb927.8.6350,Unknown,"CYC2-like cyclin, putative",Cell.cycle,Unknown,Unknown
Tb11.v5.0239,Unknown,"TPR-repeat-containing chaperone protein DNAJ, putative",Chaperone,Unknown,Unknown
Tb11.v5.0778,Unknown,"chaperone protein DnaJ, putative",Chaperone,Unknown,Unknown
Tb11.v5.1062,Unknown,"chaperone protein DnaJ, putative",Chaperone,Unknown,Unknown
Tb927.1.1230,Unknown,"chaperone protein DnaJ, putative",Chaperone,Unknown,Unknown
Tb927.10.12380,Unknown,"chaperone protein DnaJ, putative",Chaperone,Unknown,Unknown
Tb927.10.5180,Unknown,"TPR-repeat-containing chaperone protein DNAJ, putative",Chaperone,Unknown,Unknown
Tb927.4.880,Unknown,"TPR-repeat-containing chaperone protein DNAJ, putative",Chaperone,Unknown,Unknown
Tb927.6.3730,Unknown,"chaperone protein DnaJ, putative",Chaperone,Unknown,"cytoplasm[weak,reticulated],cytoplasm[<10%],flagellar cytoplasm[<10%],nuclear lumen[<10%]"
Tb927.6.3850,Unknown,"chaperone protein DnaJ, putative",Chaperone,Unknown,Unknown
Tb927.10.8310,Unknown,histone acetyltransferase,Chromatin,Unknown,Unknown
Tb927.11.15600,Unknown,histone deacetylase 2,Chromatin,Unknown,Unknown
Tb927.11.1790,Unknown,histone H1,Chromatin,Unknown,Unknown
Tb927.11.1860,Unknown,histone H1,Chromatin,Unknown,Unknown
Tb927.11.1870,Unknown,histone H1,Chromatin,Unknown,Unknown
Tb927.11.1880,Unknown,histone H1,Chromatin,Unknown,Unknown
Tb927.8.1920,Unknown,histone-lysine n-methyltransferase,Chromatin,Unknown,Unknown
Tb11.v5.0868,Unknown,"mitotubule-associated protein Gb4, putative",Cytoskeleton,Unknown,Unknown
Tb927.10.10360,nucleus,Microtubule-associated repetitive protein,Cytoskeleton,nucleus,"cortical cytoskeleton,basal body"
Tb927.10.1110,Unknown,"kinesin, putative",Cytoskeleton,Unknown,Unknown
Tb927.10.4210,Unknown,Basal body protein,Cytoskeleton,Unknown,Unknown
Tb927.11.16310,Unknown,Unconventional myosin,Cytoskeleton,Unknown,Unknown
Tb927.11.2700,Unknown,Basal body protein,Cytoskeleton,Unknown,Unknown
Tb927.2.950,Unknown,"paraflagellar rod component, putative",Cytoskeleton,Unknown,Unknown
Tb927.7.3840,Unknown,"kinesin-like protein, fragment, putative",Cytoskeleton,Unknown,Unknown
Tb927.7.5650,Unknown,"kinesin, putative",Cytoskeleton,Unknown,Unknown
Tb927.7.6970,Unknown,"paraflagellar rod protein, putative",Cytoskeleton,Unknown,paraflagellar rod
